34091447,1311
1,2175282,Heartbeats,12049097,Amy Deasismont,100
2,27570789,Secrets AMFB Onerepublic,816320,Bryson Andres,58
3,4330223,Dying In the Sun,101982,The Cranberries,54
4,27754190,Rising Sun,827286,Prince of Spain,54
5,2533578,You Are My Sunshine (Version 1),55536,Elizabeth Mitchell,52
6,27759600,Five Hundred Miles,35331,Justin Timberlake/Carey Mulligan/Stark Sands,50
7,29556005,스포일러,126682,Epik High,48
8,19081573,Until You,42935,Shayne Ward,47
9,20200830,Apologize,98105,OneRepublic,44
10,668243,I Cry,18166,有里知花,42
11,4894309,カノン,13950,DJ Okawari,41
12,493911,夏恋,15164,Otokaze,41
13,3413895,Liekkas,74681,Sofia Jannok,41
14,3986017,Viva La Vida,89365,Coldplay,40
15,19561011,If I Die Young,102919,The Band Perry,40
16,28914395,내 맘이 그게 아닌데,975089,LeL,37
17,5366190,BLUE,126339,BIGBANG,37
18,19711382,New Soul,83520,Vox Angeli,35
19,550234,小さな恋のうた,15988,新垣結衣,35
20,16280589,Abstract Moments,28916,Avens,35
21,357126,Tassel,90374,Cymophane,35
22,116493,白昼之夜,3716,林隆璇,35
23,5235731,相亲相爱,2545,丁于/姚贝娜/曹芙嘉/马海生,34
24,2182987,Without You,48152,Alyssa Reid,34
25,2530213,Only Time,55520,Enya,34
26,22733110,风が流れる刹那,18727,Barbarian On The Groove,34
27,186001,七里香,6452,周杰伦,34
28,16596479,To Love You More,65614,Lucia Micarelli,34
29,29095319,Belle (Du film « Belle et Sébastien »),85267,Zaz,34
30,185709,稻香,6452,周杰伦,32
31,571257,Down by the Salley Gardens,16347,藤田恵美,32
32,1217823,Be What You Wanna Be,31200,Darin,32
33,668248,涙の物语,18166,有里知花,32
34,857896,A Little Story,22247,Valentin,32
35,5308001,사랑에 베이다,123825,July,31
36,4154790,Need You Now,95456,Lady A,31
37,330611,一个人背两个人的债,10584,张柏芝,31
38,27901832,奇迹再现,4552,毛毛,31
39,5365987,MONSTER,126339,BIGBANG,30
40,4164331,Bye Bye Bye,95748,Lovestoned,30
41,17427620,Higher,33087,Erik Grönwall,30
42,698458,Righteous Path,18750,Blazo,28
43,28391048,Beautiful Times,40859,Owl City/Lindsey Stirling,28
44,2001472,Safe And Sound,44266,Taylor Swift/The Civil Wars,28
45,18582321,Serenade,35398,Jim Brickman,28
46,223801,猜不透,7534,丁当,28
47,362996,父亲,12081,筷子兄弟,28
48,17194024,Cry On My Shoulder,152734,Deutschland sucht den Superstar,28
49,698479,Best Moments (feat. Kondor),18750,Blazo,28
50,92305,单车恋人,3058,后弦,27
51,2872271,So:Lo,62899,Kate Havnevik,27
52,2414836,Tango Bello,53118,Celine Roscheck,27
53,2583315,Badinerie,56540,Edvin Marton,27
54,26528968,에코,126689,Every Single Day,27
55,1474397,Dead And Gone,35331,Justin Timberlake/T.I.,27
56,28445041,Sheezus,64146,Lily Allen,27
57,3023862,Oceanside,66124,Lainey Lou,25
58,29572212,사랑이 올 때,935119,南优铉,25
59,29307005,너의 왈츠,886177,Afternight Project,24
60,21274655,Lonely,40437,Nana,24
61,496640,City of Twilight,15251,Raujika,24
62,16432052,Girlfriend,46490,Avril Lavigne,24
63,1210496,What Are Words,30899,Chris Medina,24
64,28111105,だんご大家族,17601,茶太,24
65,22844535,Moon Flow,14956,Nomak,22
66,5134011,Pretty Boy,66344,M2M,22
67,443242,Summer,14408,久石譲,22
68,28228208,안녕,818694,孝琳,22
69,18933806,Story of my life,37825,Kondor,22
70,26287025,Only Teardrops,735018,Emmelie de Forest,22
71,185668,烟花易冷,6452,周杰伦,22
72,1791490,Le Papillon,40448,Nicolas Errèra,22
73,127777,月半小夜曲,3884,Lawrence,21
74,5308028,My Soul,123825,July,21
75,442746,合唱 君をのせて,14408,久石譲,21
76,185811,青花瓷,6452,周杰伦,21
77,5197746,We Will Rock You,104700,Various Artists,21
78,2701506,Lollipop,59252,Holly Dolly,21
79,524678,Continue The Voyage,15567,tsunenori a.k.a Marukabis,21
80,5257161,好心分手,8330,卢巧音/王力宏,20
81,2117962,Complicated,46490,Avril Lavigne,20
82,17706535,Good Time,40859,Owl City/Carly Rae Jepsen,20
83,5331100,Fall Rain,124774,Seori,20
84,25715148,泰国传奇,678003,夏筠妍,20
85,1297650,Love the Way You Lie (Clean),32665,Eminem/Rihanna,20
86,27514868,Grenade,178059,Bruno Mars,18
87,394653,坐在巷口的那对男女,13579,自然卷,18
88,28949444,喜欢你,7763,G.E.M.邓紫棋,18
89,25657282,Marry You,178059,Bruno Mars,18
90,1475997,Because You Live,35336,Jesse McCartney,18
91,16607971,Trouble Is A Friend,64143,Lenka,18
92,27853752,爸爸去哪儿,3704,林志颖/郭涛/张亮/张悦轩/郭子睿/王岳伦/王诗龄/KIMI,17
93,5331930,Stepping On The Rainy Street,124830,Daydream,17
94,17753288,What Makes You Beautiful,98351,One Direction,17
95,28378263,永远的奥特曼,12220,LINE,17
96,25648017,I Knew You Were Trouble.,44266,Taylor Swift,17
97,3951353,Snowdream,88149,Bandari,15
98,20707577,What I Want Is What I've Got,45839,Westlife,15
99,4083399,Far Away From Home,93186,Groove Coverage,15
100,299234,森林狂想曲,9617,吴金黛,15
